Pod_Name,Node_Name,CPU_Requests (millicores),Memory_Requests (MiB),CPU_Limits (millicores),Memory_Limits (MiB),Container_Count,Resource_Utilization,Allocation_Strategy,Node_Labels
pod1,node4,8,597,11,715,3,0.34026673786501715,Custom,label1
pod2,node2,3,611,10,1603,2,0.018216412321535924,Custom,label1
pod3,node4,9,349,8,1690,5,0.5691881334025868,Default,label1
pod4,node1,2,266,13,922,4,0.23695991443552666,Custom,label3
pod5,node2,2,922,9,1832,2,0.2061885466679353,Default,label1
pod6,node3,10,175,10,1683,1,0.6649679533176992,Custom,label1
pod7,node4,3,332,6,1578,5,0.564027713914387,Custom,label1
pod8,node2,2,513,15,767,3,0.7451658892841079,Default,label3
pod9,node3,6,549,6,715,3,0.7183760730890411,Default,label1
pod10,node5,1,478,12,1385,5,0.9163488270518291,Default,label2
pod11,node5,1,334,8,222,1,0.8058065538350813,Custom,label1
pod12,node2,5,164,9,1701,2,0.7359712455104456,Custom,label1
pod13,node1,8,860,11,1086,3,0.05693560519978702,Custom,label1
pod14,node3,9,997,13,1531,4,0.8079441473652456,Custom,label3
pod15,node2,5,909,11,1657,3,0.856625970934851,Default,label2
pod16,node1,4,548,11,1147,2,0.4166648178059281,Custom,label3
pod17,node2,2,611,14,1079,2,0.9807608391847022,Custom,label1
pod18,node4,5,662,15,1971,3,0.9560180720609225,Custom,label3
pod19,node1,2,213,12,490,3,0.295981028326487,Default,label1
pod20,node4,3,136,13,1928,4,0.3095396707226934,Default,label3
pod21,node4,6,116,5,1400,5,0.24313073486060988,Default,label1
pod22,node3,10,812,6,1721,1,0.8633077519800529,Custom,label2
pod23,node1,8,577,6,583,3,0.37206201540582373,Default,label2
pod24,node4,6,414,6,684,5,0.2278026646247261,Custom,label2
pod25,node5,7,745,5,1184,3,0.9879286615026673,Default,label1
pod26,node3,7,817,13,1066,5,0.7089226329620554,Default,label3
pod27,node5,3,372,13,624,2,0.19334706853150563,Default,label3
pod28,node1,7,892,14,1338,3,0.653839583437356,Custom,label3
pod29,node1,2,900,5,1991,5,0.07667112175389723,Default,label2
pod30,node2,9,363,6,619,3,0.977971409090481,Custom,label3
pod31,node5,8,346,14,1475,3,0.22971821382267787,Default,label1
pod32,node3,7,169,9,612,1,0.05359967326700199,Custom,label2
pod33,node5,2,721,9,261,5,0.03531521877801469,Custom,label2
